Restaurant , Pizzeria Lobidu , Via IV Novembre, 13, 21049, Tradate, VA
Gym    , Fit Active , Via Giuseppe Ungaretti, 34, 21047, Saronno, VA
Gym    , MioCLub , Via dei Pradacci, 5, 21049, Tradate, VA
Gym    , Dinamika Fitness , Via Albert Einstein, 20, 42027, Montecchio Emilia, RE
Gym    , YouFit , Via Bergamo, 4, 20135, Milano, MI
Gym    , Keasy Fit , Via Sapri, 64, 20156, Milano, MI
Gym    , Virgin Active , Viale Alcide de Gasperi, 2, 20151, Milano, MI
Gym    , 20 hours fit , Piazzetta Bossi, 4, 20121, Milano, MI
Gym    , Mc Fit , Via Luisa Battistotti Sassi, 11, 20133, Milano, MI
Gym    , Fit Express , Viale Italia, 52, 20094, Corsico, MI
Gym    , Centro Sportivo Giuriati , Via Carlo Pascal, 6, 20133, Milano, MI
Swimming Pool    , MioCLub , Via Pietro Nenni, 8, 21012, Cassano Magnago, VA
Swimming Pool    , Piscina Piola , Via Giuseppe Zanoia, 2, 20131, Milano, MI
Swimming Pool    , Patrini Gardens and Pools , Via Dino Compagni, 2, 20131, Milano, MI
Swimming Pool    , Piscina Colonna , Via Conservatorio, 2, 20122, Milano, MI
Swimming Pool    , Bagni Misteriosi , Via Carlo Botta, 18, 20135, Milano, MI
Swimming Pool    , Acquasalus , Via Maestri Campionesi, 28, 20135, Milano, MI
Swimming Pool    , Centro Balneare Argelati , Via Giovanni Segantini, 6, 20143, Milano, MI
Supermarket , Carrefour , Via Gustavo Modena, 8, 20153, Milano, MI
Supermarket , Esselunga , Viale Piave, 38, 20129, Milano, MI
Supermarket , Lidl , Viale Ortles, 7, 20139, Milano, MI
Supermarket , Carrefour Express , Via Europa, 7, 20097, San Donato Milanese, MI
Supermarket , Pam , Viale Sabotino, 6, 20135, Milano, MI
Supermarket , MD , Via Nicola Palmieri, 58, 20141, Milano, MI
Supermarket , Penny Market , Via Moncucco, 22, 20142, Milano, MI
Supermarket , Tigotà , Corso San Gottardo, 24, 20136, Milano, MI
Supermarket , Acqua e Sapone , Via delle Orchidee, 4, 20147, Milano, MI
Supermarket , Iper , Via Eugenio Curiel, 25, 20089, Rozzano, MI
Supermarket , Super Dì , Viale Lombardia, 65, 20131, Milano, MI
Supermarket , Iper Futura , Via Isca del Pioppo, 5, 85100, Potenza, PZ
Supermarket , Maxi Futura , Via Trinità, 1, 84036, Sala Consilina, SA
Supermarket , Conad , Piazzale Bologna, 7, 20139, Milano, MI
Supermarket , Coop , Viale Umbria, 48, 20137, Milano, MI
Supermarket , Iper Coop , Via Benozzo Gozzoli, 130, 20152, Milano, MI
Supermarket , Tigros , Viale Europa, 30, 20090, Cusago, MI
Supermarket , Arcaplanet , Corso Indipendenza, 20, 20129, Milano, MI
Bar    , Street bar , Via Antonio da Recanate, 2, 20124, Milano, MI
Bar    , Birrificio Lambrate , Via Adelchi, 5, 20131, Milano, MI
Bar    , Matricola , Viale Romagna, 43, 20133, Milano, MI
Bar    , Terrazza Aperol , Galleria Vittorio Emanuele II, 3, 20121, Milano, MI
Bar    , Terrazza 21 , Piazza del Duomo, 21, 20122, Milano, MI
Bar    , Ceresio 7 , Via Ceresio, 7, 20154, Milano, MI
Bar    , BanghraBar , Corso Sempione, 1, 20145, Milano, MI
Bar    , Garage , Piazza Luigi Einaudi, 1, 22076, Mozzate, CO
Bar    , Garden , Via Luino, 26, 21037, Lavena Ponte Tresa, VA
Bar    , Bar Roma , Via Roma, 7, 20867, Caponago, MB
Bar    , Dolce Far Niente , Corso Paolo Bernacchi, 44, 21049, Tradate, VA
Bar    , In & Out , Via Gradisca, 14, 21049, Tradate, VA
Bar    , Gran Caffè , Corso di Porta Vittoria, 47, 20122, Milano, MI
Bar    , La Prosciutteria , Corso Garibaldi, 55, 20121, Milano, MI
Bar    , Trapizzino , Via Marghera, 12, 20149, Milano, MI
Bar    , Tigella's , Via Anfiteatro, 6, 20121, Milano, MI
Bar    , Tempesta , Via D. Chiesa, 37, 21040, Venegono Inferiore, VA
Bar    , Piqua Café , Via Comunale, 5, 66016, Guardiagrele, CH
University , Politecnico di Milano , Piazza Leonardo da Vinci, 32, 20133, Milano, MI
University , Politecnico di Torino , Corso Castelfidardo, 39, 10129, Torino, TO
University , Bocconi , Via Roberto Sarfatti, 25, 20100, Milano, MI
University , Normale di Pisa , Piazza dei Cavalieri, 7, 56126, Pisa, PI
University , Politecnico di Bari , Via Edoardo Orabona, 4, 70126, Bari, BA
University , Bicocca , Piazza dell'Ateneo Nuovo, 1, 20126, Milano, MI
University , Statale di Milano , Via Festa del Perdono, 7, 20122, Milano, MI
Theater    , Arena di Verona , Piazza Bra, 1, 37121, Verona, VR
Theater    , La Fenice , Campo San Fantin, 1965, 30124, Venezia, VE
Theater    , Goldoni , Via San Marco ,4650, 30124, Venezia, VE
Cinema     , Plinius Multisala , Viale Abruzzi, 28, 20131, Milano, MI
Cinema     , Multisala Colosseo , Viale Monte Nero, 84, 20135, Milano, MI
Cinema     , Space Cinema Odeon , Via Santa Radegonda, 8, 20121, Milano, MI
Hospital   , Policlinico di Milano , Via Francesco Sforza, 35, 20122, Milano, MI
Hospital   , Fiera Milano , Viale Lodovico Scarampo, 6, 20149, Milano, MI
Hospital   , Fate Bene Fratelli , Via di Ponte Quattro Capi, 39, 00186, Roma, RM
Hospital   , Mauriziano Umberto , Largo Filippo Turati, 62, 10128, Torino, TO
Hospital   , Santa Maria della Misericordia , Viale Tre Martiri, 140, 45100, Rovigo, RO
